Date,Open,High,Low,Close,Volume,Adj Close
1/3/2011,325.64,330.26,324.84,329.57,15883600,329.57
1/4/2011,332.44,332.5,328.15,331.29,11038600,331.29
1/5/2011,329.55,334.34,329.5,334,9058700,334
1/6/2011,334.72,335.25,332.9,333.73,10709500,333.73
1/7/2011,333.99,336.35,331.9,336.12,11096800,336.12
1/10/2011,338.83,343.23,337.17,342.45,16000400,342.45
1/11/2011,344.88,344.96,339.47,341.64,15814500,341.64
1/12/2011,343.25,344.43,342,344.42,10790700,344.42
1/13/2011,345.16,346.64,343.85,345.68,10599300,345.68
1/14/2011,345.89,348.48,344.44,348.48,10998600,348.48
1/18/2011,329.52,344.76,326,340.65,66831600,340.65
1/19/2011,348.35,348.6,336.88,338.84,40494700,338.84
1/20/2011,336.43,338.3,330.12,332.68,27290500,332.68
1/21/2011,333.77,334.88,326.63,326.72,26915000,326.72
1/24/2011,326.87,337.45,326.72,337.45,20500100,337.45
1/25/2011,336.33,341.44,334.57,341.4,19436600,341.4
1/26/2011,342.96,345.6,341.5,343.85,18084500,343.85
1/27/2011,343.78,344.69,342.83,343.21,10169300,343.21
1/28/2011,344.17,344.4,333.53,336.1,21116400,336.1
1/31/2011,335.8,340.04,334.3,339.32,13461000,339.32
2/1/2011,341.3,345.65,340.98,345.03,15221100,345.03
2/2/2011,344.45,345.25,343.55,344.32,9238300,344.32
2/3/2011,343.8,344.24,338.55,343.44,14043100,343.44
2/4/2011,343.64,346.7,343.51,346.5,11479800,346.5
2/7/2011,347.89,353.25,347.64,351.88,17299100,351.88
2/8/2011,353.68,355.52,352.15,355.2,13579500,355.2
2/9/2011,355.19,359,354.87,358.16,17222400,358.16
2/10/2011,357.39,360,348,354.54,33126100,354.54
2/11/2011,354.75,357.8,353.54,356.85,13114400,356.85
2/14/2011,356.79,359.48,356.71,359.18,11073100,359.18
2/15/2011,359.19,359.97,357.55,359.9,10126300,359.9
2/16/2011,360.8,364.9,360.5,363.13,17044800,363.13
2/17/2011,357.25,360.27,356.52,358.3,18918900,358.3
2/18/2011,358.71,359.5,349.52,350.56,29077700,350.56
